id,subject,topic,question,optionA,optionB,optionC,optionD,answer,tip
1,Mathematics,Sequences and Series,Choose the correct mathematical statement from Sequences and Series.,Option A concept,Option B concept,Option C concept,Option D concept,B,Review the core concept from the FSc textbook.
2,Mathematics,Trigonometry,Choose the correct mathematical statement from Trigonometry.,Option A concept,Option B concept,Option C concept,Option D concept,B,Focus on conceptual understanding rather than memorization.
3,English,Antonyms,Choose the correct answer related to Antonyms.,Option A concept,Option B concept,Option C concept,Option D concept,D,Review the core concept from the FSc textbook.
4,Mathematics,Limits,Solve the problem related to Limits.,Statement 1,Statement 2,Statement 3,Statement 4,C,Use elimination to remove incorrect options quickly.
5,Mathematics,Functions,Solve the problem related to Functions.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Review the core concept from the FSc textbook.
6,Mathematics,Functions,Choose the correct mathematical statement from Functions.,Statement 1,Statement 2,Statement 3,Statement 4,D,Recall the key formula or rule from the chapter.
7,Physics,Electromagnetic Induction,"In Electromagnetic Induction, which statement is correct?",Statement 1,Statement 2,Statement 3,Statement 4,B,Focus on conceptual understanding rather than memorization.
8,Mathematics,Sequences and Series,Which of the following is correct in Sequences and Series?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Use elimination to remove incorrect options quickly.
9,Physics,Magnetism,"According to the principle studied in Magnetism, what is correct?",Option A concept,Option B concept,Option C concept,Option D concept,D,Use elimination to remove incorrect options quickly.
10,Mathematics,Matrices,Solve the problem related to Matrices.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,B,Recall the key formula or rule from the chapter.
11,English,Vocabulary,Identify the correct option in Vocabulary.,Option A concept,Option B concept,Option C concept,Option D concept,B,Use elimination to remove incorrect options quickly.
12,English,Sentence Correction,Identify the correct option in Sentence Correction.,Statement 1,Statement 2,Statement 3,Statement 4,A,Recall the key formula or rule from the chapter.
13,Physics,Waves,A conceptual question from Waves: choose the correct option.,Option A concept,Option B concept,Option C concept,Option D concept,A,Use elimination to remove incorrect options quickly.
14,Physics,Optics,A conceptual question from Optics: choose the correct option.,Statement 1,Statement 2,Statement 3,Statement 4,C,Focus on conceptual understanding rather than memorization.
15,Physics,Electromagnetic Induction,"In Electromagnetic Induction, which statement is correct?",Option A concept,Option B concept,Option C concept,Option D concept,C,Focus on conceptual understanding rather than memorization.
16,English,Synonyms,Which option best fits the rule of Synonyms?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Recall the key formula or rule from the chapter.
17,Physics,Thermodynamics,A conceptual question from Thermodynamics: choose the correct option.,Statement 1,Statement 2,Statement 3,Statement 4,A,Focus on conceptual understanding rather than memorization.
18,English,Grammar,Identify the correct option in Grammar.,Statement 1,Statement 2,Statement 3,Statement 4,A,Recall the key formula or rule from the chapter.
